,timestamp_utc,datetime,Air Temperature,Atmospheric Pressure,Battery Percent,Battery Voltage,Logger Temperature,Max Precip Rate,Precipitation,Reference Pressure,Saturation Extract EC 5 cm,Saturation Extract EC 20 cm,Saturation Extract EC 40 cm,Soil Temperature 5 cm,Soil Temperature 20 cm,Soil Temperature 40 cm,VPD,Vapor Pressure,Water Content 5 cm,Water Content 20 cm,Water Content 40 cm,Storage 50 cm,Vapor Pressure Deficit
56,1625040000,2021-06-30 02:00:00,22.0,97.16,100,8273,21.8,12.0,0.8,97.05,0.485,1.27,2.285,25.4,25.3,24.0,0.04,2.596,0.23,0.22,0.326,132.2,0.0479311922105756
57,1625043600,2021-06-30 03:00:00,21.6,97.15,100,8268,21.4,0.0,0.102,97.04,0.485,1.271,2.285,25.2,25.2,24.0,,2.581,0.23,0.22,0.326,132.2,-0.0008472739640557
58,1625047200,2021-06-30 04:00:00,21.4,97.11,100,8265,21.2,0.0,0.0,97.0,0.486,1.26,2.285,25.0,25.1,24.0,,2.552,0.23,0.22,0.326,132.2,-0.003229401527943
59,1625050800,2021-06-30 05:00:00,21.2,97.11,100,8260,20.8,0.0,0.0,96.99,0.487,1.264,2.29,24.8,25.0,24.0,0.01,2.503,0.229,0.22,0.326,132.10000000000002,0.0147224920902959
60,1625054400,2021-06-30 06:00:00,21.4,97.13,100,8256,20.9,12.0,0.0,97.01,0.487,1.271,2.29,24.6,24.8,24.0,,2.545,0.229,0.22,0.326,132.10000000000002,0.003770598472057
61,1625058000,2021-06-30 07:00:00,21.7,97.11,100,8253,21.3,12.0,0.2,97.0,0.488,1.268,2.29,24.4,24.7,24.0,0.01,2.59,0.229,0.22,0.326,132.10000000000002,0.0059699942202966
62,1625061600,2021-06-30 08:00:00,22.2,97.1,100,8254,22.0,12.0,0.4,96.99,0.488,1.272,2.291,24.3,24.6,23.9,0.05,2.619,0.229,0.22,0.326,132.10000000000002,0.0573336594163711
63,1625065200,2021-06-30 09:00:00,23.5,97.11,100,8273,23.3,0.0,0.0,97.0,0.488,1.273,2.286,24.5,24.5,23.9,0.19,2.698,0.229,0.22,0.326,132.10000000000002,0.1975307729089892
64,1625068800,2021-06-30 10:00:00,24.5,97.09,100,8287,25.1,0.0,0.0,96.99,0.486,1.271,2.281,24.9,24.4,23.9,0.34,2.733,0.229,0.219,0.326,131.9,0.3416490508815899
65,1625072400,2021-06-30 11:00:00,23.8,97.11,100,8300,24.1,12.0,0.0,96.99,0.485,1.267,2.282,25.5,24.4,23.9,0.19,2.769,0.229,0.22,0.326,132.10000000000002,0.1792843050220849
66,1625076000,2021-06-30 12:00:00,25.1,97.07,100,8340,25.0,0.0,0.0,96.96,0.483,1.27,2.282,25.9,24.4,23.8,0.38,2.8120000000000003,0.229,0.22,0.326,132.10000000000002,0.3746957622050226
67,1625079600,2021-06-30 13:00:00,26.2,97.02,100,8369,27.1,0.0,0.0,96.9,0.481,1.269,2.283,26.6,24.5,23.8,0.61,2.793,0.229,0.22,0.325,131.9,0.6083866095362414
68,1625083200,2021-06-30 14:00:00,26.1,96.97,100,8380,27.3,0.0,0.0,96.85,0.484,1.268,2.284,27.4,24.7,23.8,0.64,2.743,0.229,0.22,0.325,131.9,0.6383618118460985
69,1625086800,2021-06-30 15:00:00,26.6,96.94,100,8404,27.8,0.0,0.0,96.82,0.482,1.258,2.284,28.0,24.8,23.8,0.73,2.758,0.229,0.22,0.325,131.9,0.724522891456
70,1625090400,2021-06-30 16:00:00,27.1,96.89,100,8404,28.6,0.0,0.0,96.77,0.48,1.259,2.285,28.7,25.1,23.8,0.84,2.737,0.229,0.22,0.325,131.9,0.8493105663510558
71,1625094000,2021-06-30 17:00:00,26.3,96.89,100,8384,27.9,0.0,0.0,96.76,0.482,1.263,2.291,29.2,25.3,23.7,0.75,2.673,0.229,0.22,0.325,131.9,0.7485146678582186
72,1625097600,2021-06-30 18:00:00,25.8,96.84,100,8372,26.2,0.0,0.0,96.72,0.488,1.261,2.285,29.4,25.5,23.8,0.61,2.698,0.228,0.22,0.325,131.8,0.6239025283483368
73,1625101200,2021-06-30 19:00:00,26.1,96.84,100,8354,26.6,0.0,0.0,96.72,0.49,1.259,2.29,29.1,25.8,23.8,0.67,2.705,0.228,0.22,0.325,131.8,0.6763618118460983
74,1625104800,2021-06-30 20:00:00,24.8,96.86,100,8335,25.4,0.0,0.0,96.75,0.492,1.261,2.296,28.8,25.9,23.8,0.45,2.684,0.227,0.22,0.325,131.7,0.4462352193130301
75,1625108400,2021-06-30 21:00:00,23.0,96.87,100,8324,23.0,0.0,0.0,96.76,0.49,1.264,2.296,28.2,26.0,23.8,0.18,2.633,0.227,0.22,0.325,131.7,0.1764376223970689
